TREAT	TIME	organic
Ivermectin	8	3028.7
Ivermectin	8	2805.7
Ivermectin	8	3061.3
Ivermectin	8	3113.4
Ivermectin	8	2938.1
Ivermectin	8	3063.4
Ivermectin	12	2765.0
Ivermectin	12	2713.7
Ivermectin	12	2945.7
Ivermectin	12	2869.3
Ivermectin	12	2902.0
Ivermectin	12	2836.6
Ivermectin	16	2413.3
Ivermectin	16	2592.6
Ivermectin	16	2804.7
Ivermectin	16	2546.5
Ivermectin	16	2823.7
Ivermectin	16	2845.2
Control	8	2425.0
Control	8	2630.1
Control	8	2557.0
Control	8	2763.4
Control	8	2701.0
Control	8	2544.2
Control	12	2530.6
Control	12	2301.2
Control	12	2389.8
Control	12	2445.2
Control	12	2218.5
Control	12	2348.1
Control	16	1995.0
Control	16	2165.2
Control	16	1940.9
Control	16	2271.8
Control	16	2493.8
Control	16	2452.8
