parti sort  x
1     1     5.77
1     1     5.48
1     1     5.08
1     1     4.89
2     1     5.19
2     1     5.73
2     1     5.24
2     1     4.84
3     1     5.52
3     1     5.32
3     1     5.14
3     1     5
4     1     5.13
4     1     5.16
4     1     4.76
4     1     5.06
5     2     4.99
5     2     4.95
5     2     4.79
5     2     4.6
6     2     4.7
6     2     4.66
6     2     4.81
6     2     4.86
7     2     4.83
7     2     4.61
7     2     4.56
7     2     4.81
8     2     5.22
8     2     5.32
8     2     5.52
8     2     5.56
9     3     4.52
9     3     4.58
9     3     4.21
9     3     4.21
10     3     4.12
10     3     4.13
10     3     4.83
10     3     4.44
11     3     4.26
11     3     4.18
11     3     4.47
11     3     4.62
12     3     4.41
12     3     4.33
12     3     4.93
12     3     4.73
