srt mn hjd
Barke   0.025 76
Barke   0.025 72
Ferment 0.025 77
Ferment 0.025 79
Linus   0.025 69
Linus   0.025 72
Lux     0.025 66 
Lux     0.025 68
Paloma  0.025 70 
Paloma  0.025 73
Barke   0.025 78
Barke   0.025 73
Ferment 0.025 75
Ferment 0.025 76
Linus   0.025 71
Linus   0.025 67
Lux     0.025 64
Lux     0.025 67
Paloma  0.025 70
Paloma  0.025 72
Barke   0.025 79
Barke   0.025 73
Ferment 0.025 76
Ferment 0.025 80
Linus   0.025 68
Linus   0.025 70
Lux     0.025 65
Lux     0.025 68
Paloma  0.025 70
Paloma  0.025 73
Barke   0.05 81
Barke   0.05 76 
Ferment 0.05 83
Ferment 0.05 81
Linus   0.05 74
Linus   0.05 70
Lux     0.05 66
Lux     0.05 68
Paloma  0.05 76 
Paloma  0.05 83
Barke   0.05 79
Barke   0.05 80
Ferment 0.05 84
Ferment 0.05 81
Linus   0.05 71
Linus   0.05 68
Lux     0.05 68
Lux     0.05 74
Paloma  0.05 73
Paloma  0.05 77
Barke   0.05 82
Barke   0.05 83
Ferment 0.05 86
Ferment 0.05 82
Linus   0.05 70
Linus   0.05 73
Lux     0.05 69
Lux     0.05 70
Paloma  0.05 74
Paloma  0.05 76
Barke   0.1 86
Barke   0.1 84
Ferment 0.1 93
Ferment 0.1 86
Linus   0.1 73
Linus   0.1 77
Lux     0.1 69 
Lux     0.1 70
Paloma  0.1 85 
Paloma  0.1 83
Barke   0.1 87
Barke   0.1 82
Ferment 0.1 92
Ferment 0.1 85
Linus   0.1 74
Linus   0.1 79
Lux     0.1 69
Lux     0.1 73
Paloma  0.1 81
Paloma  0.1 84
Barke   0.1 87
Barke   0.1 82
Ferment 0.1 93
Ferment 0.1 83
Linus   0.1 76
Linus   0.1 76
Lux     0.1 75
Lux     0.1 70
Paloma  0.1 82
Paloma  0.1 85
