block   trt      ht  growth
    1     1     3.6     8.9
    1     2     3.1    10.7
    1     3     4.7    12.4
    2     1     4.7    10.1
    2     2     4.9    14.2
    2     3     2.6     9.0
    3     1     2.6     6.3
    3     2     0.8     5.9
    3     3     1.5     7.4
    4     1     5.3    14.0
    4     2     4.6    12.6
    4     3     4.3    10.1
    5     1     3.1     9.6
    5     2     3.9    12.5
    5     3     3.3     6.8
    6     1     1.8     6.4
    6     2     1.7     9.6
    6     3     3.6    10.0
    7     1     5.8    12.3
    7     2     5.5    12.8
    7     3     5.8    11.9
    8     1     3.8    10.8
    8     2     2.6     8.0
    8     3     2.0     7.5
    9     1     2.4     8.0
    9     2     1.1     7.5
    9     3     1.6     5.2
   10     1     5.3    12.6
   10     2     4.4    11.4
   10     3     5.8    13.4
   11     1     3.6     7.4
   11     2     1.4     8.4
   11     3     4.8    10.7
