block vty  yield
  1    s   22.25
  1    b   51.50
  1    o   41.56
  1    g   36.75
  1    k   21.00
  2    m   32.00
  2    l   44.00
  2    j   52.50
  2    a   50.75
  2    k   32.25
  3    e   51.75
  3    i   58.50
  3    k   29.75
  3    n   70.75
  3    t   56.00
  4    r   45.75
  4    c   37.25
  4    k   17.50
  4    q   26.75
  4    h   37.25
  5    g   49.25
  5    a   33.75
  5    f   45.75
  5    h   55.25
  5    i   62.80
  6    j   59.00
  6    u   72.50
  6    o   49.50
  6    e   46.50
  6    h   78.00
  7    b   61.25
  7    p   47.75
  7    l   45.00
  7    t   35.00
  7    h   53.00
  8    e   31.25
  8    c   35.25
  8    a   40.50
  8    b   58.50
  8    d   45.50
  9    u   51.00
  9    r   49.00
  9    a   40.50
  9    t   47.75
  9    s   38.50
 10    k   24.75
 10    f   47.25
 10    u   50.50
 10    p   58.75
 10    d   51.25
 11    n   55.25
 11    o   37.75
 11    a   39.50
 11    q   46.75
 11    p   48.25
 12    d   36.50
 12    t   43.50
 12    q   35.25
 12    g   44.00
 12    j   51.75
 13    o   38.75
 13    t   42.25
 13    c   42.50
 13    f   50.25
 13    m   30.75
 14    s   28.00
 14    q   40.50
 14    l   50.25
 14    f   62.50
 14    e   41.00
 15    i   65.00
 15    d   47.50
 15    o   49.75
 15    l   51.00
 15    r   64.50
 16    n   57.50
 16    g   55.00
 16    u   55.50
 16    c   38.75
 16    l   51.25
 17    g   67.00
 17    r   70.50
 17    m   46.00
 17    e   43.00
 17    p   64.50
 18    f   74.00
 18    b   68.25
 18    r   86.00
 18    n   93.25
 18    j   98.12
 19    b   67.00
 19    u   56.75
 19    i   66.00
 19    m   31.75
 19    q   49.00
 20    m   44.75
 20    d   62.00
 20    n   76.75
 20    s   46.75
 20    h   82.25
 21    j   74.25
 21    p   68.50
 21    c   46.25
 21    s   50.25
 21    i   65.50
