dose animal week wgt
0 1 1 455
0 1 3 460
0 1 4 510
0 1 5 504
0 1 6 436
0 1 7 466
0 2 1 467
0 2 3 565
0 2 4 610
0 2 5 596
0 2 6 542
0 2 7 587
0 3 1 445
0 3 3 530
0 3 4 580
0 3 5 597
0 3 6 582
0 3 7 619
0 4 1 485
0 4 3 542
0 4 4 594
0 4 5 583
0 4 6 611
0 4 7 612
0 5 1 480
0 5 3 500
0 5 4 550
0 5 5 528
0 5 6 562
0 5 7 576
1 6 1 514
1 6 3 560
1 6 4 565
1 6 5 524
1 6 6 552
1 6 7 597
1 7 1 440
1 7 3 480
1 7 4 536
1 7 5 484
1 7 6 567
1 7 7 569
1 8 1 495
1 8 3 570
1 8 4 569
1 8 5 585
1 8 6 576
1 8 7 677
1 9 1 520
1 9 3 590
1 9 4 610
1 9 5 637
1 9 6 671
1 9 7 702
1 10 1 503
1 10 3 555
1 10 4 591
1 10 5 605
1 10 6 649
1 10 7 675
2 11 1 496
2 11 3 560
2 11 4 622
2 11 5 622
2 11 6 632
2 11 7 670
2 12 1 498
2 12 3 540
2 12 4 589
2 12 5 557
2 12 6 568
2 12 7 609
2 13 1 478
2 13 3 510
2 13 4 568
2 13 5 555
2 13 6 576
2 13 7 605
2 14 1 545
2 14 3 565
2 14 4 580
2 14 5 601
2 14 6 633
2 14 7 649
2 15 1 472
2 15 3 498
2 15 4 540
2 15 5 524
2 15 6 532
2 15 7 583
