  fosfor   p81    p82    blok    udbytte
      1        0      0      1       330
      1        0      0      2       320
      1        0      0      3       355
      2        0     20      1       346
      2        0     20      2       350
      2        0     20      3       369
      3        0     40      1       409
      3        0     40      2       363
      3        0     40      3       414
      4       30      0      1       368
      4       30      0      2       340
      4       30      0      3       366
      5       30     20      1       371
      5       30     20      2       373
      5       30     20      3       403
      6       30     40      1       409
      6       30     40      2       410
      6       30     40      3       402
      7       60      0      1       360
      7       60      0      2       396
      7       60      0      3       406
      8       60     20      1       382
      8       60     20      2       407
      8       60     20      3       425
      9       60     40      1       398
      9       60     40      2       415
      9       60     40      3       433
