goat	feed	w0	w.26	w.45	w.61	w.91
1	1	20.4	21	21.5	21.3	22.3
2	1	10.3	11.4	11.6	12	12.5
3	1	12.5	13.3	14.5	14.5	15.4
4	1	10.8	11.4	11.7	12.1	12.5
5	1	13.6	15.2	15	15.5	15.8
6	1	19	19.4	19.8	19.4	19.6
7	1	10.5	10.7	11.2	11.2	11.2
8	2	11.2	11.8	11.6	11.6	12.3
9	2	17	18	17.9	18	18.6
10	2	19.2	18.6	18.9	19.4	18.9
11	2	7	7.3	7.2	7.4	7.9
12	2	11	11.9	11.9	12.5	12.6
13	2	11.6	12	11.9	12.1	11.9
14	2	10	10.8	10.6	11	11.1
15	3	11.2	11.9	12.6	12.6	12.5
16	3	14.7	15.7	15.7	15.9	16.6
17	3	10.7	11.9	11.8	11.8	12.7
18	3	10.6	11.9	12.1	12.2	12.7
19	3	20.5	21	20.9	21	21.5
20	3	18	18.9	19.3	19.5	20.4
21	3	8.1	9.1	9.3	10	10.5
22	4	18	16.8	16.5	16.8	16.8
23	4	9.3	9.2	9.2	9.2	9
24	4	8.8	9.3	9.5	9	8.8
25	4	16.9	16.3	16	15.9	16.2
26	4	10.5	10.1	9.8	10	9.7
27	4	9.3	9.3	9.3	8.9	8.5
28	4	11.3	10.5	10.6	10.5	11
