     goat     feed     w0     day  weight
      1        1      20.4     0     20.4
      1        1      20.4     26    21.0
      1        1      20.4     45    21.5
      1        1      20.4     61    21.3
      1        1      20.4     91    22.3
      2        1      10.3     0     10.3
      2        1      10.3     26    11.4
      2        1      10.3     45    11.6
      2        1      10.3     61    12.0
      2        1      10.3     91    12.5
      3        1      12.5     0     12.5
      3        1      12.5     26    13.3
      3        1      12.5     45    14.5
      3        1      12.5     61    14.5
      3        1      12.5     91    15.4
      4        1      10.8     0     10.8
      4        1      10.8     26    11.4
      4        1      10.8     45    11.7
      4        1      10.8     61    12.1
      4        1      10.8     91    12.5
      5        1      13.6     0     13.6
      5        1      13.6     26    15.2
      5        1      13.6     45    15.0
      5        1      13.6     61    15.5
      5        1      13.6     91    15.8
      6        1      19.0     0     19.0
      6        1      19.0     26    19.4
      6        1      19.0     45    19.8
      6        1      19.0     61    19.4
      6        1      19.0     91    19.6
      7        1      10.5     0     10.5
      7        1      10.5     26    10.7
      7        1      10.5     45    11.2
      7        1      10.5     61    11.2
      7        1      10.5     91    11.2
      8        2      11.2     0     11.2
      8        2      11.2     26    11.8
      8        2      11.2     45    11.6
      8        2      11.2     61    11.6
      8        2      11.2     91    12.3
      9        2      17.0     0     17.0
      9        2      17.0     26    18.0
      9        2      17.0     45    17.9
      9        2      17.0     61    18.0
      9        2      17.0     91    18.6
     10        2      19.2     0     19.2
     10        2      19.2     26    18.6
     10        2      19.2     45    18.9
     10        2      19.2     61    19.4
     10        2      19.2     91    18.9
     11        2       7.0     0      7.0
     11        2       7.0     26     7.3
     11        2       7.0     45     7.2
     11        2       7.0     61     7.4
     11        2       7.0     91     7.9
     12        2      11.0     0     11.0
     12        2      11.0     26    11.9
     12        2      11.0     45    11.9
     12        2      11.0     61    12.5
     12        2      11.0     91    12.6
     13        2      11.6     0     11.6
     13        2      11.6     26    12.0
     13        2      11.6     45    11.9
     13        2      11.6     61    12.1
     13        2      11.6     91    11.9
     14        2      10.0     0     10.0
     14        2      10.0     26    10.8
     14        2      10.0     45    10.6
     14        2      10.0     61    11.0
     14        2      10.0     91    11.1
     15        3      11.2     0     11.2
     15        3      11.2     26    11.9
     15        3      11.2     45    12.6
     15        3      11.2     61    12.6
     15        3      11.2     91    12.5
     16        3      14.7     0     14.7
     16        3      14.7     26    15.7
     16        3      14.7     45    15.7
     16        3      14.7     61    15.9
     16        3      14.7     91    16.6
     17        3      10.7     0     10.7
     17        3      10.7     26    11.9
     17        3      10.7     45    11.8
     17        3      10.7     61    11.8
     17        3      10.7     91    12.7
     18        3      10.6     0     10.6
     18        3      10.6     26    11.9
     18        3      10.6     45    12.1
     18        3      10.6     61    12.2
     18        3      10.6     91    12.7
     19        3      20.5     0     20.5
     19        3      20.5     26    21.0
     19        3      20.5     45    20.9
     19        3      20.5     61    21.0
     19        3      20.5     91    21.5
     20        3      18.0     0     18.0
     20        3      18.0     26    18.9
     20        3      18.0     45    19.3
     20        3      18.0     61    19.5
     20        3      18.0     91    20.4
     21        3       8.1     0      8.1
     21        3       8.1     26     9.1
     21        3       8.1     45     9.3
     21        3       8.1     61    10.0
     21        3       8.1     91    10.5
     22        4      18.0     0     18.0
     22        4      18.0     26    16.8
     22        4      18.0     45    16.5
     22        4      18.0     61    16.8
     22        4      18.0     91    16.8
     23        4       9.3     0      9.3
     23        4       9.3     26     9.2
     23        4       9.3     45     9.2
     23        4       9.3     61     9.2
     23        4       9.3     91     9.0
     24        4       8.8     0      8.8
     24        4       8.8     26     9.3
     24        4       8.8     45     9.5
     24        4       8.8     61     9.0
     24        4       8.8     91     8.8
     25        4      16.9     0     16.9
     25        4      16.9     26    16.3
     25        4      16.9     45    16.0
     25        4      16.9     61    15.9
     25        4      16.9     91    16.2
     26        4      10.5     0     10.5
     26        4      10.5     26    10.1
     26        4      10.5     45     9.8
     26        4      10.5     61    10.0
     26        4      10.5     91     9.7
     27        4       9.3     0      9.3
     27        4       9.3     26     9.3
     27        4       9.3     45     9.3
     27        4       9.3     61     8.9
     27        4       9.3     91     8.5
     28        4      11.3     0     11.3
     28        4      11.3     26    10.5
     28        4      11.3     45    10.6
     28        4      11.3     61    10.5
     28        4      11.3     91    11.0
