subject	variety	omkreds	length
BS	gul	8.1	12.5
BS	gul	10.6	11.0
BS	gul	8.0	7.5
BS	gul	8.8	11.5
BS	gul	10.9	11.5
BS	gul	7.3	8.5
BS	gul	9.6	11.5
BS	orange	5.9	3.5
BS	orange	5.6	6.5
BS	orange	8.0	8.0
BS	orange	7.2	6.0
BS	orange	7.3	5.5
BS	orange	8.7	10.5
BS	orange	5.2	4.0
BS	orange	4.9	5.0
BS	orange	4.4	5.0
BS	rød	6.5	6.0
AT	gul	6.2	7.5
AT	gul	6.3	7.5
AT	gul	4.9	4.5
AT	gul	7.8	9.5
AT	gul	4.1	5.0
AT	gul	8.1	6.0
AT	gul	7.3	6.5
AT	gul	7.4	7.5
AT	gul	6.9	6.5
AT	gul	6.6	6.5
AT	gul	6.3	6.0
AT	gul	4.3	3.5
AT	gul	5.2	6.0
AT	gul	7.2	8.5
AT	gul	5.9	8.0
AT	gul	5.7	6.0
AT	orange	6.3	6.0
AT	orange	5.8	5.0
AT	orange	5.5	5.0
AT	orange	6.8	5.5
AT	orange	7.4	9.0
AT	orange	6.4	5.5
AT	orange	6.2	6.0
AT	orange	6.6	8.5
AT	orange	7.8	8.5
AT	orange	6.4	6.5
AT	orange	5.6	5.0
AT	orange	4.3	3.0
AT	orange	6.7	7.0
AT	orange	5.8	6.5
AT	orange	6.1	6.5
AT	orange	5.0	7.0
AT	orange	7.2	10.0
AT	orange	6.6	6.0
AT	orange	5.1	6.0
AT	orange	5.4	6.5
AT	orange	6.1	5.0
AT	orange	6.0	6.0
AT	orange	5.9	6.0
AT	orange	4.6	5.5
AT	rød	4.9	6.0
AT	rød	5.4	4.5
AT	rød	5.7	5.0
AT	rød	5.0	5.0
AT	rød	4.8	5.0
AT	rød	3.9	4.0
AT	rød	4.4	5.0
AT	rød	4.6	3.5
AT	rød	5.1	5.0
AT	rød	6.2	5.5
