race	wgt	maxLA
Border_Terrier	9.2	6.07
Border_Terrier	6.9	4.67
Border_Terrier	7.7	4.4
Border_Terrier	11	4.48
Border_Terrier	6.3	2.78
Border_Terrier	6.7	3.6
Border_Terrier	8.7	3.5
Border_Terrier	11	6.6
Border_Terrier	11	6.08
Border_Terrier	11.2	7.99
Border_Terrier	7.5	4.62
Border_Terrier	7.9	5.84
Border_Terrier	9.2	5.04
Border_Terrier	9	5.44
Border_Terrier	6.9	3.94
Border_Terrier	7.6	4.93
Border_Terrier	7	4.48
Border_Terrier	7.7	4.97
Border_Terrier	7	4.94
Border_Terrier	7.2	6
Border_Terrier	6.2	4.67
Border_Terrier	11.1	8.12
Border_Terrier	8.1	3.75
Border_Terrier	9.6	5.04
Petit_Basset	11.2	10.1
Petit_Basset	11.5	9.47
Petit_Basset	18.8	11.99
Petit_Basset	13.9	9.56
Petit_Basset	17.5	11.76
Petit_Basset	15.2	15.28
Petit_Basset	12.7	8.65
Petit_Basset	11.7	5.73
Petit_Basset	13.8	12.57
Petit_Basset	19	16.15
Petit_Basset	15.6	12.87
Petit_Basset	14	12.77
Petit_Basset	17	13.25
Petit_Basset	16.2	8.86
Petit_Basset	16.3	14.48
Petit_Basset	18	15.18
Petit_Basset	18.6	14.23
Petit_Basset	18	14.55
Petit_Basset	17.9	13.04
Petit_Basset	12.7	11.33
Whippet	10.5	9.61
Whippet	14.2	11.78
Whippet	13.5	8.39
Whippet	13.5	9.58
Whippet	17.4	9.42
Whippet	15	9.49
Whippet	14.5	11.55
Whippet	16.5	15.41
Whippet	11.2	7.44
Whippet	11.4	9.6
Whippet	12.3	11.12
Whippet	11.5	7.16
Whippet	14	11.81
Whippet	16.2	12.65
Whippet	13.7	10.11
Whippet	17.9	10.92
Whippet	12.5	13.16
Labrador	38	17.12
Labrador	35.9	26.73
Labrador	34.9	12.22
Labrador	30.7	18.01
Labrador	32.2	17.87
Labrador	26	16.08
Labrador	26	23.04
Labrador	25	18.76
Labrador	23.5	19.32
Labrador	26.4	19.49
Labrador	31	19.68
Labrador	31.2	17.5
Labrador	30.5	13.86
Labrador	28	19.08
Labrador	30	21.04
Labrador	35	22.54
Labrador	31	19.37
Grand_Danois	59	37.74
Grand_Danois	59	30.26
Grand_Danois	72	55.63
Grand_Danois	75	39.32
Grand_Danois	58	45.91
Grand_Danois	80	39.65
Grand_Danois	64	47.99
Grand_Danois	62	26.82
Grand_Danois	58	37.9
Grand_Danois	73	36.09
Grand_Danois	60	21.35
Grand_Danois	62	28.38
Grand_Danois	82	32.23
Grand_Danois	61.4	28.87
Grand_Danois	61.8	32.42
Grand_Danois	62	24.54
Grand_Danois	63	34.11
Grand_Danois	69	34.48
Grand_Danois	74	40.2
