raekke sort   udbytte     x
1      G        5.8       0.125
1      V        6.3       0.143
1      R1       4.9       0.167
1      F        6.5       0.200
1      Re       4.5       0.250
1      M        5.2       0.333
1      E        6.5       0.500
1      P        3.8       1.000
2      G        7.0       0.250
2      V        5.5       0.333
2      R1       2.7       1.000
2      F        4.0       0.500
2      Re       5.6       0.200
2      M        7.9       0.167
2      E        6.9       0.125
2      P        7.6       0.143
3      G        6.9       0.200
3      V        7.6       0.125
3      R1       5.0       0.167
3      F        6.4       0.143
3      Re       5.2       0.500
3      M        3.2       1.000
3      E        5.3       0.333
3      P        7.4       0.250
4      G        6.5       0.250
4      V        5.8       0.500
4      R1       1.4       1.000
4      F        5.6       0.333
4      Re       7.0       0.143
4      M        6.1       0.167
4      E        7.5       0.125
4      P        7.2       0.200
