dyr  dosis  uge  vgt
  1    0     5   504
  1    0     7   466
  2    0     5   596
  2    0     7   587
  3    0     5   597
  3    0     7   619
  4    0     5   583
  4    0     7   612
  5    0     5   528
  5    0     7   576
  6    1     5   524
  6    1     7   597
  7    1     5   484
  7    1     7   569
  8    1     5   585
  8    1     7   677
  9    1     5   637
  9    1     7   702
 10    1     5   605
 10    1     7   675
 11    2     5   622
 11    2     7   670
 12    2     5   557
 12    2     7   609
 13    2     5   555
 13    2     7   605
 14    2     5   601
 14    2     7   649
 15    2     5   524
 15    2     7   583
