lamb sheep prenatal postnatal time glu baseline
1114 2055 NORM CONV 2.5 7.1661 2.9066
1114 2055 NORM CONV 10 5.9055 2.9066
1114 2055 NORM CONV 20 5.131 2.9066
1114 2055 NORM CONV 30 4.5036 2.9066
1114 2055 NORM CONV 60 3.4464 2.9066
1115 2055 NORM HCHF 2.5 8.6642 3.373
1115 2055 NORM HCHF 10 6.8156 3.373
1115 2055 NORM HCHF 20 4.7946 3.373
1115 2055 NORM HCHF 30 4.5431 3.373
1115 2055 NORM HCHF 60 3.1468 3.373
1116 640 NORM CONV 2.5 9.5743 3.9439
1116 640 NORM CONV 10 7.4997 3.9439
1116 640 NORM CONV 20 6.5782 3.9439
1116 640 NORM CONV 30 5.1254 3.9439
1116 640 NORM CONV 60 4.577 3.9439
1117 640 NORM HCHF 2.5 8.7207 2.8303
1117 640 NORM HCHF 10 7.5618 2.8303
1117 640 NORM HCHF 20 6.1486 2.8303
1117 640 NORM HCHF 30 5.2406 2.8303
1117 640 NORM HCHF 60 3.3786 2.8303
1118 729 NORM HCHF 2.5 8.2346 3.5611
1118 729 NORM HCHF 10 6.5726 3.5611
1118 729 NORM HCHF 20 6.1203 3.5611
1118 729 NORM HCHF 30 6.0355 3.5611
1118 729 NORM HCHF 60 3.9213 3.5611
1119 729 NORM CONV 2.5 8.8507 3.7856
1119 729 NORM CONV 10 7.0474 3.7856
1119 729 NORM CONV 20 5.7698 3.7856
1119 729 NORM CONV 30 4.1474 3.7856
1119 729 NORM CONV 60 3.9269 3.7856
1120 712 NORM HCHF 2.5 9.5026 3.3362
1120 712 NORM HCHF 10 7.7148 3.3362
1120 712 NORM HCHF 20 5.8574 3.3362
1120 712 NORM HCHF 30 3.4395 3.3362
1120 712 NORM HCHF 60 3.0097 3.3362
1121 712 NORM CONV 2.5 8.1216 3.0686
1121 712 NORM CONV 10 6.4408 3.0686
1121 712 NORM CONV 20 5.7236 3.0686
1121 712 NORM CONV 30 4.4336 3.0686
1121 712 NORM CONV 60 3.4112 3.0686
1122 598 NORM CONV 2.5 7.9128 3.6092
1122 598 NORM CONV 10 7.0082 3.6092
1122 598 NORM CONV 20 5.2097 3.6092
1122 598 NORM CONV 30 3.9357 3.6092
1122 598 NORM CONV 60 2.5534 3.6092
1123 598 NORM HCHF 2.5 8.8776 3.5075
1123 598 NORM HCHF 10 8.1537 3.5075
1123 598 NORM HCHF 20 6.9386 3.5075
1123 598 NORM HCHF 30 5.9109 3.5075
1123 598 NORM HCHF 60 3.8501 3.5075
1124 791 NORM CONV 2.5 10.514 4.1981
1124 791 NORM CONV 10 7.9182 4.1981
1124 791 NORM CONV 20 6.8798 4.1981
1124 791 NORM CONV 30 5.5041 4.1981
1124 791 NORM CONV 60 4.0428 4.1981
1125 791 NORM HCHF 2.5 9.5936 3.5718
1125 791 NORM HCHF 10 7.6184 3.5718
1125 791 NORM HCHF 20 5.6165 3.5718
1125 791 NORM HCHF 30 4.6316 3.5718
1125 791 NORM HCHF 60 3.6306 3.5718
1127 741 NORM CONV 2.5 8.6534 3.4512
1127 741 NORM CONV 10 6.451 3.4512
1127 741 NORM CONV 20 4.5746 3.4512
1127 741 NORM CONV 30 4.7465 3.4512
