stype tray volume
  1  1 37.0        
  1  3 44.6        
  1  5 42.5 
  1  6 47.1 
  2  3 49.0 
  2  4 50.5 
  2  5 51.0 
  2  6 44.8 
  3  2 34.6 
  3  3 42.7 
  3  4 41.8 
  3  5 37.8      
  4  1 45.3 
  4  2 42.7 
  4  3 47.7 
  4  4 42.8           
  5  1 32.1 
  5  2 38.5        
  5  4 32.0        
  5  6 31.6 
  6  1 34.3 
  6  2 33.3        
  6  4 34.0 
  6  5 22.6      
  7  1 32.3        
  7  3 28.1 
  7  4 28.1 
  7  5 32.3      
  8  1 38.9 
  8  2 36.5        
  8  4 39.7        
  8  6 34.8 
  9  1 33.9        
  9  3 31.4 
  9  4 32.1        
  9  6 23.0
  10 2 39.7 
  10 3 41.8        
  10 5 43.5 
  10 6 33.8 
  11 2 41.1 
  11 3 38.1        
  11 5 31.1 
  11 6 37.9 
  12 1 35.9 
  12 2  7.5               
  12 5 36.2 
  12 6 25.5
