porker pH	chill	    y
1      low      tunnel      7.22
2      low      tunnel      3.11
3      low      tunnel      7.44
4      low      tunnel      4.33
5      low      tunnel      6.78
6      low      tunnel      5.56
7      low      tunnel      7.33
8      low      tunnel      4.22
9      low      tunnel      3.89
10      low      tunnel      5.78
11      low      tunnel      6.44
12      low      tunnel      8.00
13      high      tunnel      8.44
14      high      tunnel      7.11
15      high      tunnel      6.00
16      high      tunnel      7.56
17      high      tunnel      5.11
18      high      tunnel      8.67
19      high      tunnel      5.78
20      high      tunnel      6.11
21      high      tunnel      7.44
22      high      tunnel      7.67
23      high      tunnel      8.00
24      high      tunnel      8.78
1      low      fast      5.56
2      low      fast      3.33
3      low      fast      7.00
4      low      fast      4.89
5      low      fast      6.56
6      low      fast      5.67
7      low      fast      6.33
8      low      fast      5.67
9      low      fast      4.00
10      low      fast      5.56
11      low      fast      5.67
12      low      fast      5.33
13      high      fast      8.44
14      high      fast      6.00
15      high      fast      5.78
16      high      fast      7.67
17      high      fast      4.56
18      high      fast      8.00
19      high      fast      7.67
20      high      fast      5.67
21      high      fast      7.56
22      high      fast      6.11
23      high      fast      8.22
24      high      fast      8.44
