id	status	time	feed	insulin
4242	preg	1h	LS	0.5833
4242	preg	2.5h	LS	1.8922
5204	preg	1h	LS	0.4742
5204	preg	2.5h	LS	1.5054
60217	preg	1h	LS	0.7104
60217	preg	2.5h	LS	1.4463
60235	preg	1h	LS	0.4617
60235	preg	2.5h	LS	1.3541
60236	preg	1h	LS	0.4662
60236	preg	2.5h	LS	1.5675
60260	preg	1h	LS	0.5226
60260	preg	2.5h	LS	0.731
4221	preg	1h	CS	0.6371
4221	preg	2.5h	CS	1.4005
60213	preg	1h	CS	1.2117
60213	preg	2.5h	CS	2.0239
60242	preg	1h	CS	0.2555
60242	preg	2.5h	CS	0.7195
60351	preg	1h	CS	0.4792
60351	preg	2.5h	CS	0.8721
5223	preg	1h	MS	0.613
5223	preg	2.5h	MS	0.6668
5229	preg	1h	MS	0.6244
5229	preg	2.5h	MS	0.7921
60202	preg	1h	MS	0.347
60202	preg	2.5h	MS	1.316
60207	preg	1h	MS	0.5043
60207	preg	2.5h	MS	1.1902
60209	preg	1h	MS	0.5113
60209	preg	2.5h	MS	1.4058
60259	preg	1h	MS	0.4727
60259	preg	2.5h	MS	0.5386
4242	lac	1h	LS	0.3529
4242	lac	2.5h	LS	0.3899
60217	lac	1h	LS	0.2248
60217	lac	2.5h	LS	0.4509
60235	lac	1h	LS	0.2093
60235	lac	2.5h	LS	0.5
4221	lac	1h	CS	0.1894
4221	lac	2.5h	CS	0.2698
60209	lac	1h	MS	0.3801
60209	lac	2.5h	MS	1.1614
60259	lac	1h	MS	0.142
60259	lac	2.5h	MS	0.4568
5204	lac	1h	LS	0.3569
5204	lac	2.5h	LS	1.3679
5232	lac	1h	LS	0.2152
5232	lac	2.5h	LS	0.5365
60236	lac	1h	LS	0.1932
60236	lac	2.5h	LS	1.5558
60260	lac	1h	LS	0.3055
60260	lac	2.5h	LS	0.5463
60213	lac	1h	CS	0.5218
60213	lac	2.5h	CS	1.5652
60242	lac	1h	CS	0.877
60242	lac	2.5h	CS	3.757
60351	lac	1h	CS	0.1892
60351	lac	2.5h	CS	1.1563
4241	lac	1h	MS	0.4361
4241	lac	2.5h	MS	0.8538
5223	lac	1h	MS	0.2591
5223	lac	2.5h	MS	0.4014
5232	preg	1h	LS	0.4376
5232	preg	2.5h	LS	1.0239
5229	lac	1h	MS	0.4661
5229	lac	2.5h	MS	1.0623
60202	lac	1h	MS	0.3469
60202	lac	2.5h	MS	1.013
60207	lac	1h	MS	0.2595
60207	lac	2.5h	MS	0.5304
4241	preg	1h	MS	0.911
4241	preg	2.5h	MS	1.6224
