lamb	treat	time	glu
1114	A	-0.5	3.93
1114	A	1	7.21
1114	A	2.5	5.09
1115	B	-0.5	5.39
1115	B	1	4.7
1115	B	2.5	5.4
1116	A	-0.5	4.6
1116	A	1	5.6
1116	A	2.5	5.7
1117	B	-0.5	5.09
1117	B	1	10.56
1117	B	2.5	11.15
1118	B	-0.5	5.3
1118	B	1	9.79
1118	B	2.5	12.18
1119	A	-0.5	4.46
1119	A	1	7.59
1119	A	2.5	5.78
1120	B	-0.5	4.88
1120	B	1	6.13
1120	B	2.5	7.28
1121	A	-0.5	4.05
1121	A	1	7.55
1121	A	2.5	4.3
1122	A	-0.5	4.05
1122	A	1	5.89
1122	A	2.5	5.77
1123	B	-0.5	5.28
1123	B	1	5.93
1123	B	2.5	5.82
1124	A	-0.5	4.18
1124	A	1	6.3
1124	A	2.5	5.19
1125	B	-0.5	4.67
1125	B	1	8.16
1125	B	2.5	5.46
1127	A	-0.5	4
1127	A	1	6.51
1127	A	2.5	4.73
1129	A	-0.5	5.35
1129	A	1	7.96
1129	A	2.5	5.2
1130	B	-0.5	6
1130	B	1	6.5
1130	B	2.5	6.97
1131	B	-0.5	4.38
1131	B	1	7.48
1131	B	2.5	5.47
1132	A	-0.5	4.45
1132	A	1	8
1132	A	2.5	6.93
1133	B	-0.5	5.08
1133	B	1	6.31
1133	B	2.5	7.43
1134	B	-0.5	4.46
1134	B	1	5.65
1134	B	2.5	5.73
1135	C	-0.5	4.47
1135	C	1	6.35
1135	C	2.5	5.06
1136	D	-0.5	4.72
1136	D	1	8.02
1136	D	2.5	8.4
1137	D	-0.5	5.19
1137	D	1	11.15
1137	D	2.5	13.43
1138	C	-0.5	4.87
1138	C	1	5.61
1138	C	2.5	5.32
1139	C	-0.5	3.99
1139	C	1	7.16
1139	C	2.5	5.2
1140	D	-0.5	7.23
1140	D	1	7.25
1140	D	2.5	6
1141	D	-0.5	5.03
1141	D	1	9.03
1141	D	2.5	7.82
1142	C	-0.5	4.21
1142	C	1	9.51
1142	C	2.5	5.56
1143	C	-0.5	3.54
1143	C	1	9.39
1143	C	2.5	7.46
1145	C	-0.5	4.24
1145	C	1	6.73
1145	C	2.5	5.49
1146	D	-0.5	4.84
1146	D	1	5.06
1146	D	2.5	7.38
1147	D	-0.5	5.79
1147	D	1	5.7
1147	D	2.5	5.47
1148	C	-0.5	4.04
1148	C	1	7.22
1148	C	2.5	6.35
1149	C	-0.5	4.35
1149	C	1	5.93
1149	C	2.5	5.41
1151	D	-0.5	5.07
1151	D	1	5.09
1151	D	2.5	5.47
1152	C	-0.5	4.85
1152	C	1	6.09
1152	C	2.5	5.6
1153	C	-0.5	3.48
1153	C	1	4.89
1153	C	2.5	4.38
1154	D	-0.5	4.68
1154	D	1	6.95
1154	D	2.5	5.41
1156	D	-0.5	4.85
1156	D	1	10.08
1156	D	2.5	9.82
