"octagon" "co2" "drought" "temp" "length"
1 0 0 0 194.386
1 0 1 0 156.266
1 0 1 1 48.881
1 0 0 1 64.156
10 1 1 0 137.201
10 1 1 1 172.646
10 1 0 1 45.145
10 1 0 0 66.126
11 0 1 0 144.542
11 0 1 1 134.277
11 0 0 1 248.322
11 0 0 0 159.162
12 1 0 0 234.182
12 1 1 0 63.135
12 1 1 1 50.515
2 1 0 0 198.512
2 1 1 0 228.855
2 1 1 1 260.821
2 1 0 1 132.113
3 0 1 0 190.894
3 0 1 1 52.34
3 0 0 1 57.672
3 0 0 0 236.962
4 1 1 0 166.698
4 1 1 1 75.633
4 1 0 1 148.84
4 1 0 0 84.689
5 1 0 0 126.211
5 1 0 1 162.688
5 1 1 1 26.258
5 1 1 0 224.774
6 0 1 0 101.622
6 0 0 0 161.925
6 0 0 1 62.636
6 0 1 1 145.996
7 0 0 0 255.649
7 0 1 0 116.706
7 0 1 1 63.147
8 1 0 1 30.211
8 1 1 1 92.425
8 1 1 0 41.34
9 0 0 0 175.218
9 0 0 1 65.145
9 0 1 1 100.139
9 0 1 0 89.553
