hest  side	diam	S
G01	H	8	4.72369186846101
G01	H	10	4.92763823831472
G01	H	12	5.12642327564759
G01	H	14	5.47534769848362
G01	H	16	5.00037804761236
G01	V	8	4.2979420458981
G01	V	10	4.29053642357095
G01	V	12	4.2517262229241
G01	V	14	4.45960305914123
G01	V	16	4.58971929969255
G02	H	8	4.43002676785209
G02	H	10	4.57874735790506
G02	H	12	5.14949277193778
G02	H	14	4.70393397426026
G02	H	16	4.87509209189304
G02	V	8	5.66791592147691
G02	V	10	5.1696886628146
G02	V	12	5.60894593312719
G02	V	14	5.15595396988539
G02	V	16	5.71757666366197
G03	H	8	3.80284554147452
G03	H	10	4.12410644596832
G03	H	12	4.13499044729159
G03	H	14	4.6269849749955
G03	H	16	4.56166044497659
G03	V	8	4.54997371921959
G03	V	10	5.29714369976178
G03	V	12	5.17716015442377
G03	V	14	5.49855108172545
G03	V	16	6.41709940205343
G04	H	8	4.21727505486264
G04	H	10	5.02556318110197
G04	H	12	4.69566111798082
G04	H	14	4.87298286352887
G04	H	16	4.87724631521886
G04	V	8	4.08237794925251
G04	V	10	4.47076966661182
G04	V	12	4.50173133746601
G04	V	14	4.86699689397958
G04	V	16	5.06026749164794
G05	H	8	4.2159005462331
G05	H	10	4.15892419395184
G05	H	12	4.03476386560268
G05	H	14	4.32951273898874
G05	H	16	4.37508245878394
G05	V	8	4.49762448958518
G05	V	10	4.40131446360229
G05	V	12	4.86595759905138
G05	V	14	5.1362357703899
G05	V	16	4.55067882932749
G06	H	8	5.13566502661472
G06	H	10	4.93458089733994
G06	H	12	5.11812382548108
G06	H	14	5.62495828280408
G06	H	16	5.45114029510083
G06	V	8	3.99612379283059
G06	V	10	5.32949951306608
G06	V	12	4.89319045264615
G06	V	14	5.48278823042886
G06	V	16	5.06392388596673
G07	H	8	3.89283056675587
G07	H	10	4.2722702208003
G07	H	12	4.273402372749
G07	H	14	4.85943674160734
G07	H	16	4.44764340089236
G07	V	8	3.63610705776804
G07	V	10	4.03003730697163
G07	V	12	4.57892921584109
G07	V	14	4.60595027908065
G07	V	16	4.87723952841397
G08	H	8	4.90250154351772
G08	H	10	6.30076525431996
G08	H	12	5.97294854567269
G08	H	14	6.3304970616211
G08	H	16	5.5880157677273
G08	V	8	4.79409954865022
G08	V	10	5.01118133525455
G08	V	12	5.13904979887835
G08	V	14	5.4182900818373
G08	V	16	4.5585673935549
G09	H	8	5.79641659330534
G09	H	10	5.91523938795696
G09	H	12	5.78816028529711
G09	H	14	6.18267714549406
G09	H	16	5.47026490141009
G09	V	8	4.54981031117169
G09	V	10	4.83518851639553
G09	V	12	4.77012986832324
G09	V	14	4.64824461534468
G09	V	16	5.40329824003543
G11	H	8	5.03866967919502
G11	H	10	4.65508204785056
G11	H	12	4.88964294304527
G11	H	14	5.30130686206657
G11	H	16	5.81134587938414
G11	V	8	4.36032305518711
G11	V	10	4.4298869380167
G11	V	12	5.38109470037306
G11	V	14	5.10228931679126
G11	V	16	4.91739385127584
G13	H	8	4.42417695404415
G13	H	10	4.36492190382993
G13	H	12	4.26436077410675
G13	H	14	5.4989446189161
G13	H	16	4.96909561281914
G13	V	8	4.3796331380393
G13	V	10	4.3683037598168
G13	V	12	5.36519989516016
G13	V	14	4.38189448212862
G13	V	16	4.13178208240071
G14	H	8	4.66215874581114
G14	H	10	4.99147513469543
G14	H	12	5.50160315949509
G14	H	14	4.9052299280442
G14	H	16	5.22997415036658
G14	V	8	4.62317846640006
G14	V	10	4.48647502272853
G14	V	12	4.52393259081812
G14	V	14	4.6594807597087
G14	V	16	5.46160849794851
G15	H	8	5.29590739385911
G15	H	10	5.97759923861235
G15	H	12	6.0962531349911
G15	H	14	6.27199442852815
G15	H	16	6.81608659583579
G15	V	8	4.47117008903673
G15	V	10	4.97533744146441
G15	V	12	4.72333059294646
G15	V	14	5.7778986642256
G15	V	16	5.6676568129042
G16	H	8	4.49737245744429
G16	H	10	5.06739471823204
G16	H	12	4.34811558886269
G16	H	14	4.26828678836828
G16	H	16	4.39774879820697
G16	V	8	5.39968673746859
G16	V	10	5.49202172314919
G16	V	12	5.60186435789869
G16	V	14	5.79459044793461
G16	V	16	5.84643422798045
G17	H	8	4.30556110106815
G17	H	10	4.87220212240358
G17	H	12	6.51445821554504
G17	H	14	5.47385543231557
G17	H	16	5.10430521664606
G17	V	8	4.53609024992522
G17	V	10	4.74253817100378
G17	V	12	5.68300070163566
G17	V	14	5.97384128269418
G17	V	16	5.14497383953739
G18	H	8	4.80320630573202
G18	H	10	4.99286824004169
G18	H	12	5.49738550987185
G18	H	14	4.80734771451982
G18	H	16	5.28862899717636
G18	V	8	4.96248825999891
G18	V	10	5.49449252209796
G18	V	12	5.61319375350597
G18	V	14	5.7962057112525
G18	V	16	6.1306363181141
G19	H	8	4.27656496892077
G19	H	10	4.56314008931051
G19	H	12	5.08904089881139
G19	H	14	5.30011865351315
G19	H	16	5.13688043460801
G19	V	8	4.52238988083599
G19	V	10	4.87128306624696
G19	V	12	4.59263125404453
G19	V	14	4.33694063775059
G19	V	16	4.63612237467336
G20	H	8	4.88988740549406
G20	H	10	5.18414688669446
G20	H	12	5.21724980180753
G20	H	14	5.55376684440061
G20	H	16	5.634840734942
G20	V	8	5.22357140156652
G20	V	10	5.32662643813342
G20	V	12	5.99897231552121
G20	V	14	5.88889566898784
G20	V	16	6.18884043451628
G21	H	8	5.5837552031852
G21	H	10	5.78397016718138
G21	H	12	6.78950753949266
G21	H	14	6.3105760838646
G21	H	16	6.18342015116356
G21	V	8	5.78659922708859
G21	V	10	5.50822523701979
G21	V	12	6.1703805321342
G21	V	14	5.91283754209861
G21	V	16	5.51352436486684
G22	H	8	4.64671822999767
G22	H	10	4.73091159102154
G22	H	12	4.80383383052243
G22	H	14	4.76176808088148
G22	H	16	4.60972161337072
G22	V	8	4.98031904849671
G22	V	10	5.02257266327382
G22	V	12	4.99295149456022
G22	V	14	4.30933998300542
G22	V	16	4.48899282834802
G23	H	8	6.41603592983561
G23	H	10	6.09027399287531
G23	H	12	6.68494821150193
G23	H	14	6.96616958592704
G23	H	16	6.72845274725554
G23	V	8	5.20338575875113
G23	V	10	5.94073677567523
G23	V	12	5.30016508558131
G23	V	14	5.92437419797113
G23	V	16	5.82901249165177
G25	H	8	5.50993121964627
G25	H	10	6.07491673592286
G25	H	12	5.3971089104365
G25	H	14	6.07859057587562
G25	H	16	5.77913228050053
G25	V	8	5.04876396941223
G25	V	10	5.02631536823719
G25	V	12	4.78619678855137
G25	V	14	5.1223838164199
G25	V	16	5.09507064242635
G26	H	8	5.16615019746934
G26	H	10	4.19553686253895
G26	H	12	4.40261841692808
G26	H	14	4.14839404980312
G26	H	16	4.5581335159556
G26	V	8	4.05956334995799
G26	V	10	4.10541082482254
G26	V	12	4.04099963989432
G26	V	14	4.31863539686329
G26	V	16	4.94822211200882
G28	H	8	3.67403031515672
G28	H	10	3.77676567799782
G28	H	12	4.22437655532086
G28	H	14	4.27164485234492
G28	H	16	4.42937401135496
G28	V	8	3.68101203377975
G28	V	10	3.82291053830378
G28	V	12	4.06800548567957
G28	V	14	3.74529059245173
G28	V	16	3.8159329728738
G29	H	8	6.31296595285106
G29	H	10	5.93997296033772
G29	H	12	5.85899605165612
G29	H	14	6.35296683482954
G29	H	16	6.09341296795933
G29	V	8	3.78728778033257
G29	V	10	4.58010108672393
G29	V	12	4.23753665395374
G29	V	14	4.45872380860493
G29	V	16	4.63712633068146
G30	H	8	5.152116532792
G30	H	10	5.39932279136513
G30	H	12	5.54323097021115
G30	H	14	5.35886556945553
G30	H	16	5.33829110863934
G30	V	8	4.94010572789957
G30	V	10	5.09063964878968
G30	V	12	5.56058108814468
G30	V	14	5.05773269229499
G30	V	16	5.25396815352338
G31	H	8	5.03541581009673
G31	H	10	4.92281684733512
G31	H	12	5.21200477534064
G31	H	14	4.85567893212679
G31	H	16	5.05555852180245
G31	V	8	5.10898080188835
G31	V	10	5.36469593385026
G31	V	12	5.32467486513893
G31	V	14	5.52215428646366
G31	V	16	5.77944648530171
