octagon	incore	co2	temp	drought	depth	DW
1	1	0	0	0	0-5	15.34993907
1	1	0	0	0	Ohor	14.76957872
1	2	0	0	0	0-5	34.86580485
1	2	0	0	0	Ohor	33.61352398
1	3	0	0	1	0-5	20.18644904
1	3	0	0	1	Ohor	21.39042435
1	4	0	0	1	0-5	26.3757265
1	4	0	0	1	Ohor	10.69521218
1	5	0	1	1	0-5	21.25855311
1	5	0	1	1	Ohor	14.2602829
1	6	0	1	1	0-5	28.51256639
1	6	0	1	1	Ohor	11.20450799
1	7	0	1	0	0-5	42.91127812
1	7	0	1	0	Ohor	32.08563653
1	8	0	1	0	0-5	33.85831455
1	8	0	1	0	Ohor	29.02986162
2	9	1	0	0	0-5	35.2825416
2	9	1	0	0	Ohor	17.82535363
2	10	1	0	0	0-5	62.36583285
2	10	1	0	0	Ohor	27.50197417
2	11	1	0	1	0-5	27.57038704
2	11	1	0	1	Ohor	26.48338253
2	12	1	0	1	0-5	57.66862848
2	12	1	0	1	Ohor	4.583662361
2	13	1	1	1	0-5	62.09246464
2	13	1	1	1	Ohor	16.80676199
2	14	1	1	1	0-5	79.56525496
2	14	1	1	1	Ohor	45.32732779
2	15	1	1	0	0-5	52.00037915
2	15	1	1	0	Ohor	32.59493235
2	16	1	1	0	0-5	48.65259023
2	16	1	1	0	Ohor	52.45746924
3	17	0	0	1	0-5	34.6830452
3	17	0	0	1	Ohor	21.89972017
3	18	0	0	1	0-5	20.70806685
3	18	0	0	1	Ohor	12.73239545
3	19	0	1	1	0-5	47.90586909
3	19	0	1	1	Ohor	25.46479089
3	20	0	1	1	0-5	33.03453505
3	20	0	1	1	Ohor	42.7808487
3	21	0	1	0	0-5	56.29243626
3	21	0	1	0	Ohor	28.5205658
3	22	0	1	0	0-5	58.05612821
3	22	0	1	0	Ohor	69.77352705
3	23	0	0	0	0-5	36.08094271
3	23	0	0	0	Ohor	41.76225707
3	24	0	0	0	0-5	31.00392703
3	24	0	0	0	Ohor	19.35324108
4	25	1	0	1	0-5	49.75390614
4	25	1	0	1	Ohor	29.02986162
4	26	1	0	1	0-5	42.07056641
4	26	1	0	1	Ohor	11.71380381
4	27	1	1	1	0-5	72.88282668
4	27	1	1	1	Ohor	8.148733086
4	28	1	1	1	0-5	69.84132292
4	28	1	1	1	Ohor	54.49465251
4	29	1	1	0	0-5	56.8140132
4	29	1	1	0	Ohor	10.18591636
4	30	1	1	0	0-5	63.77219345
4	30	1	1	0	Ohor	9.167324722
4	31	1	0	0	0-5	66.46893587
4	31	1	0	0	Ohor	10.18591636
4	32	1	0	0	0-5	70.05857479
4	32	1	0	0	Ohor	32.59493235
5	33	1	0	0	0-5	48.87638922
5	33	1	0	0	Ohor	5.092958179
5	34	1	0	0	0-5	43.16816503
