subj	eksp	size	position	v
1	1	S	15	1.25399205437468
1	1	S	15	1.14532590650207
1	1	S	15	1.14645989509315
1	1	S	15	1.14307894548379
1	1	S	15	1.20085265148501
1	1	S	15	1.18644154388556
1	1	S	15	1.28373303044741
1	1	S	15	1.22735739719526
1	1	S	15	1.26483879133125
1	1	S	15	1.20028769061274
2	1	S	15	0.821008271690367
2	1	S	15	0.917081180442755
2	1	S	15	0.959132540322097
2	1	S	15	0.81532992812934
2	1	S	15	0.909928861175046
2	1	S	15	0.891550750549547
2	1	S	15	0.897723212259311
2	1	S	15	0.797017235116839
2	1	S	15	0.831449915241711
2	1	S	15	0.812482969377543
3	1	S	15	1.02690577929202
3	1	S	15	1.17358732386126
3	1	S	15	1.23026106293814
3	1	S	15	1.12155976696259
3	1	S	15	1.08053932625109
3	1	S	15	1.09444435435309
3	1	S	15	1.14500221996133
3	1	S	15	1.19136692020026
3	1	S	15	1.26140751211135
3	1	S	15	1.14076054851607
4	1	S	15	1.13653879546082
4	1	S	15	1.0336164969656
4	1	S	15	1.02577955953283
4	1	S	15	1.04814469429995
4	1	S	15	1.0933262601653
4	1	S	15	0.971461098175325
4	1	S	15	1.02470418330742
4	1	S	15	0.961998303028999
4	1	S	15	1.06161682966989
4	1	S	15	1.0476883101195
5	1	S	15	0.924367446497667
5	1	S	15	0.648579884814293
5	1	S	15	0.678463801777798
5	1	S	15	0.695622114371369
5	1	S	15	0.761440581529288
5	1	S	15	0.675175552395259
5	1	S	15	0.731980722041095
5	1	S	15	0.728699562950699
5	1	S	15	0.682829163912094
5	1	S	15	0.693965237517717
6	1	S	15	0.743818714119589
6	1	S	15	0.770569887961749
6	1	S	15	0.746911974134538
6	1	S	15	0.784854524867041
6	1	S	15	0.910509450693319
6	1	S	15	0.782308304048801
6	1	S	15	0.810375724604853
6	1	S	15	0.822043115002993
6	1	S	15	0.935768818251701
6	1	S	15	0.769453818250082
7	1	S	15	0.942771501624231
7	1	S	15	0.93629476295503
7	1	S	15	0.917953254294612
7	1	S	15	0.899678474899462
7	1	S	15	0.935646836247258
7	1	S	15	0.898332916774254
7	1	S	15	0.865302917182545
7	1	S	15	0.831567900786557
7	1	S	15	0.902307827152746
7	1	S	15	0.882874522641758
8	1	S	15	0.87990273778115
8	1	S	15	1.0686219307378
8	1	S	15	1.05774994465817
8	1	S	15	1.02770094841272
8	1	S	15	0.967511211808798
8	1	S	15	1.00313937485964
8	1	S	15	0.887816299366807
8	1	S	15	0.949241669411261
8	1	S	15	0.953642804092493
8	1	S	15	1.07307778031276
9	1	S	15	1.29625673394827
9	1	S	15	1.0886408794519
9	1	S	15	1.02931700388084
9	1	S	15	1.15304495092535
9	1	S	15	1.36647386977998
9	1	S	15	1.26197891726653
9	1	S	15	1.18161154698499
9	1	S	15	1.34500952063532
9	1	S	15	1.28843412638774
9	1	S	15	1.16495183248559
10	1	S	15	0.883091223208952
10	1	S	15	1.08929513832297
10	1	S	15	0.915533285076737
10	1	S	15	1.01695864964867
10	1	S	15	0.997965432567723
10	1	S	15	0.91331734579032
10	1	S	15	1.0376425308129
10	1	S	15	1.01311432551209
10	1	S	15	0.810214798357852
10	1	S	15	0.970486296889215
1	2	M	15	1.38663717014068
1	2	M	15	1.37853089790457
1	2	M	15	1.19331111571704
1	2	M	15	1.28457913341785
1	2	M	15	1.19986705597078
1	2	M	15	1.22729061648572
1	2	M	15	1.24555824848666
1	2	M	15	1.32900251351797
1	2	M	15	1.24342211249984
1	2	M	15	1.34174766781277
2	2	M	15	1.02441182356998
2	2	M	15	1.04756300962152
2	2	M	15	1.03467379327347
2	2	M	15	1.09856776968086
2	2	M	15	1.17298351411813
2	2	M	15	1.18076286377997
2	2	M	15	1.14363906125084
2	2	M	15	1.04340481308029
2	2	M	15	1.10650850536133
2	2	M	15	1.03978681402487
3	2	M	15	1.27312536513236
3	2	M	15	1.39939097150947
3	2	M	15	1.370149564695
3	2	M	15	1.42205339707217
3	2	M	15	1.26246699207278
3	2	M	15	1.45484101727693
3	2	M	15	1.36931233354572
3	2	M	15	1.37648959997282
3	2	M	15	1.29554595261222
3	2	M	15	1.39159353259934
4	2	M	15	1.0767563131975
4	2	M	15	1.11877891987159
4	2	M	15	1.29636521500245
4	2	M	15	1.27562072206496
4	2	M	15	1.14698422655241
4	2	M	15	1.16840819622897
4	2	M	15	1.28739436782876
4	2	M	15	1.00794577664105
4	2	M	15	1.17270294387709
4	2	M	15	1.16118593775974
5	2	M	15	0.968335833324391
5	2	M	15	0.897056226081947
5	2	M	15	0.929091772461734
5	2	M	15	0.828781924207322
5	2	M	15	0.859387935839911
5	2	M	15	0.896052366261108
5	2	M	15	0.802420191606636
5	2	M	15	0.879118943552808
5	2	M	15	0.890051835406218
5	2	M	15	0.993357300264815
6	2	M	15	0.975141448621816
6	2	M	15	1.09326185247064
6	2	M	15	0.987688811396295
6	2	M	15	1.04707757833951
6	2	M	15	1.03730855717009
6	2	M	15	1.00759629086457
6	2	M	15	0.988500182689189
6	2	M	15	0.905160152539836
6	2	M	15	1.00319538668708
6	2	M	15	1.02131329205994
7	2	M	15	0.993306138106212
7	2	M	15	1.12955382514209
7	2	M	15	1.1296975853706
7	2	M	15	1.01029065004732
7	2	M	15	1.1431073349005
7	2	M	15	1.03878978754724
7	2	M	15	1.0234919462161
7	2	M	15	1.0524315358169
7	2	M	15	1.05042037416119
7	2	M	15	0.975308946043764
8	2	M	15	1.14683123690747
8	2	M	15	1.36590541889111
8	2	M	15	1.21259154874248
8	2	M	15	1.224307377969
8	2	M	15	1.31021427800653
8	2	M	15	1.2054181141985
8	2	M	15	1.08798675538936
8	2	M	15	1.20095701395629
8	2	M	15	1.40438555350113
8	2	M	15	1.18980343663806
9	2	M	15	1.29584761699231
9	2	M	15	1.38871918391205
9	2	M	15	1.37674481806781
9	2	M	15	1.41150105638285
9	2	M	15	1.44002265535784
9	2	M	15	1.44785496597571
9	2	M	15	1.40175676214061
9	2	M	15	1.56714847445815
9	2	M	15	1.54275171615403
9	2	M	15	1.48312140394598
10	2	M	15	1.00888286442673
10	2	M	15	1.09912555006907
10	2	M	15	1.01731722150169
10	2	M	15	1.17074600662677
10	2	M	15	1.26895031914936
10	2	M	15	1.12707342867808
10	2	M	15	1.12942103915238
10	2	M	15	1.21741682683647
10	2	M	15	1.01867575921277
10	2	M	15	1.10045658196193
1	3	T	15	1.39994239647683
1	3	T	15	1.33749677338628
1	3	T	15	1.24629018801866
1	3	T	15	1.41502089671756
1	3	T	15	1.40926485235113
1	3	T	15	1.14878952557294
1	3	T	15	1.44199476018569
1	3	T	15	1.28117390975399
1	3	T	15	1.4111386257699
1	3	T	15	1.27746109233404
2	3	T	15	1.30754166944908
2	3	T	15	1.29429013525634
2	3	T	15	1.31820579348658
2	3	T	15	1.23871833586202
2	3	T	15	1.3717592889009
2	3	T	15	1.24510944954759
2	3	T	15	1.25246839802021
2	3	T	15	1.1801187707602
2	3	T	15	1.19966597391576
2	3	T	15	1.23574825859739
3	3	T	15	1.73446745160258
3	3	T	15	1.60254530813836
3	3	T	15	1.55808382268298
3	3	T	15	1.60724231999233
3	3	T	15	1.54808657558549
3	3	T	15	1.5186667412716
3	3	T	15	1.54300630635594
3	3	T	15	1.68903488114777
3	3	T	15	1.7535788333255
3	3	T	15	1.81960260944141
4	3	T	15	1.36169573310841
4	3	T	15	1.29680347814846
4	3	T	15	1.48425592968212
4	3	T	15	1.32589296112504
4	3	T	15	1.23943190077803
4	3	T	15	1.31927910491529
4	3	T	15	1.40951324311775
4	3	T	15	1.32189371451101
4	3	T	15	1.3702413096319
4	3	T	15	1.32060032257442
5	3	T	15	0.977957694441622
5	3	T	15	0.972054488190998
5	3	T	15	0.829797929277244
5	3	T	15	1.06482784157733
5	3	T	15	0.779693756246082
5	3	T	15	0.893784362778023
5	3	T	15	0.851519611330802
5	3	T	15	0.846017684749426
5	3	T	15	0.988684396107079
5	3	T	15	1.1045475842393
6	3	T	15	1.17806331674605
6	3	T	15	1.1322227061487
6	3	T	15	1.15032589103533
6	3	T	15	1.15198786819543
6	3	T	15	1.19168699613916
6	3	T	15	1.16221086853823
6	3	T	15	1.25165547506222
6	3	T	15	1.19307939976924
6	3	T	15	1.15430618019738
6	3	T	15	1.16574874678505
7	3	T	15	1.48606743720628
7	3	T	15	1.36507093304842
7	3	T	15	1.28414304761088
7	3	T	15	1.36412469022198
7	3	T	15	1.34623458667479
7	3	T	15	1.39138495541134
7	3	T	15	1.32100676515248
7	3	T	15	1.32834403638069
7	3	T	15	1.24228783103061
7	3	T	15	1.31004045677221
8	3	T	15	1.44623292446736
8	3	T	15	1.52035287711841
8	3	T	15	1.5042765281334
8	3	T	15	1.3795826626056
8	3	T	15	1.51200370263854
8	3	T	15	1.3559886430983
8	3	T	15	1.56120404804333
8	3	T	15	1.47094193357695
8	3	T	15	1.29419896135888
8	3	T	15	1.36631430184162
9	3	T	15	1.33820585651614
9	3	T	15	1.46386642715572
9	3	T	15	1.60016189748787
9	3	T	15	1.7683123785046
9	3	T	15	1.60378458207026
9	3	T	15	1.64072830589536
9	3	T	15	1.54409706478854
9	3	T	15	1.48308428174923
9	3	T	15	1.75610536960546
9	3	T	15	1.56197178900613
10	3	T	15	1.28886063400571
10	3	T	15	1.19465691933418
10	3	T	15	1.50323781251412
10	3	T	15	1.53217822203128
10	3	T	15	1.41971955203385
10	3	T	15	1.31630609848366
10	3	T	15	1.16375174756467
10	3	T	15	1.59658071481179
10	3	T	15	1.3839452845993
10	3	T	15	1.24533902889488
1	4	S	22.5	1.0203246553501
1	4	S	22.5	1.07018092123627
1	4	S	22.5	1.21003703309711
1	4	S	22.5	1.0728909399961
1	4	S	22.5	0.957056383728812
1	4	S	22.5	1.20072784339174
1	4	S	22.5	1.08129410129761
1	4	S	22.5	0.969004170052349
1	4	S	22.5	1.1223892058949
1	4	S	22.5	1.2794506790765
2	4	S	22.5	0.670518931903541
2	4	S	22.5	0.891936901917562
2	4	S	22.5	0.874494548433519
2	4	S	22.5	0.841947438514121
2	4	S	22.5	0.847189637240865
2	4	S	22.5	0.967765718847971
2	4	S	22.5	0.767605785722039
2	4	S	22.5	0.740304340603712
2	4	S	22.5	0.807022961753038
2	4	S	22.5	0.861382493312902
3	4	S	22.5	1.25289532625855
3	4	S	22.5	1.14068589020402
3	4	S	22.5	1.05999501271239
3	4	S	22.5	0.9635070693244
3	4	S	22.5	1.03924149426755
3	4	S	22.5	1.07003750538411
3	4	S	22.5	1.08074944384958
3	4	S	22.5	1.02237295235181
3	4	S	22.5	1.12438898622843
3	4	S	22.5	1.13613750669874
4	4	S	22.5	1.07841484991447
4	4	S	22.5	1.05782726946722
4	4	S	22.5	1.03431589651256
4	4	S	22.5	1.0131988570245
4	4	S	22.5	0.821732130326211
4	4	S	22.5	0.993629817920794
4	4	S	22.5	0.866351671880319
4	4	S	22.5	0.910391134820065
4	4	S	22.5	0.87654838528064
4	4	S	22.5	0.97472232680205
5	4	S	22.5	0.930500968807846
5	4	S	22.5	0.975153294451613
5	4	S	22.5	0.792384987708389
5	4	S	22.5	0.770688146406023
5	4	S	22.5	0.591645530323433
5	4	S	22.5	0.674896041707303
5	4	S	22.5	0.640232203975816
5	4	S	22.5	0.698423665047762
5	4	S	22.5	0.58953731356209
5	4	S	22.5	0.594852309083946
6	4	S	22.5	0.737717444125238
6	4	S	22.5	0.672657709526654
6	4	S	22.5	0.726563682479343
6	4	S	22.5	0.792426647159306
6	4	S	22.5	0.833373884262485
6	4	S	22.5	0.881364440578493
6	4	S	22.5	0.817010519157024
6	4	S	22.5	0.83243663256443
6	4	S	22.5	0.769186063453307
6	4	S	22.5	0.78595787865602
7	4	S	22.5	0.826659120791764
7	4	S	22.5	0.976529518417063
7	4	S	22.5	0.950744265457107
