sire	litter	koen	lgt	vgt
S11	L296	H	50	3180
S11	L296	H	53	3350
S11	L296	H	51	3350
S29	L34	T	45.5	2150
S29	L34	H	50.5	2990
S29	L34	T	44	2020
S29	L34	H	53	3190
S29	L34	H	52	3570
S48	L12	H	54	3230
S48	L12	H	51	3020
S48	L12	H	55	3060
S48	L12	T	45	1720
S48	L12	H	54	2720
S48	L12	H	54	3340
S48	L12	H	56	3700
S48	L12	T	46	1800
S48	L12	H	56	3590
S13	L44	H	52	4000
S13	L44	H	54	3470
S13	L44	H	54	3300
S13	L44	T	41	1590
S13	L44	H	58	3960
S13	L44	H	53	2930
S45	L188	T	46	1710
S45	L188	T	47	1940
S45	L188	H	56	4070
S45	L188	H	54	3730
S45	L188	H	59	4140
S45	L188	T	47	2040
S61	L251	T	46	1940
S61	L251	H	56	3660
S61	L251	T	44	1980
S61	L251	T	46	2110
S61	L251	H	52	3780
S61	L251	H	55	4420
S61	L251	T	47	1840
S61	L251	H	54	3290
S32	L267	H	56	3340
S32	L267	T	48	2020
S32	L267	H	53	3750
S32	L267	T	47	2220
S32	L267	H	54	3860
S32	L267	T	47	2120
S48	L180	H	55	3340
S48	L180	T	46	1980
S48	L180	H	56	3460
S48	L180	T	47	1780
S48	L180	T	43	1660
S48	L180	T	45	1840
S48	L180	T	46	1740
S48	L180	H	52	2830
S16	L350	T	44	1860
S16	L350	T	45	2050
S16	L350	T	45	1850
S16	L350	H	53	3750
S16	L178	H	53	3420
S16	L178	T	44	1980
S16	L178	T	43	1640
S16	L178	H	53	3670
S16	L178	T	44	1760
S16	L178	T	43	1620
S16	L178	H	52	3220
S16	L178	H	54	3350
S55	L52	T	45	1830
S55	L52	H	53	2840
S55	L52	T	44	1650
S55	L52	H	53	3070
S36	L26	H	55	3790
S36	L26	H	58	3730
S36	L26	T	45	1890
S36	L26	T	44	1920
S36	L26	H	55	3200
S32	L82	T	44	2080
S32	L82	T	47	1980
S32	L82	H	54	3100
S32	L82	H	53	3270
S9	L208	T	47	2420
S9	L208	T	49	2030
S9	L208	T	46	2110
S9	L208	H	54	2950
S9	L208	H	54	4110
S61	L241	T	46	2170
S61	L241	T	42	1700
S61	L241	T	41	1410
S61	L241	T	46	2040
S61	L241	H	56	3820
S61	L241	H	51	3160
S61	L241	H	57	3570
S61	L241	H	58	3920
S80	L64	T	42	2030
S80	L64	T	48	1940
S80	L64	T	45	1820
S80	L64	T	46	1940
S80	L64	T	46	2060
S80	L64	H	56	3900
S61	L360	H	57	3650
S61	L360	T	43	1680
S61	L360	T	44	1720
S61	L360	T	46	2050
S61	L360	H	55	3540
S61	L360	H	55	3640
S32	L237	T	47	2070
S32	L237	H	56	3680
S32	L237	T	43.5	1670
S32	L237	H	50	2930
S32	L237	T	43	1710
S32	L237	H	54	3070
S53	L90	H	53	3250
S53	L90	T	41	1530
S53	L90	H	52	3360
S53	L90	T	46	1960
S53	L90	H	53	2940
S48	L11	T	46	2320
S48	L11	T	45	2250
S48	L11	T	48	2370
S48	L11	T	45	2040
S48	L11	T	46	2370
S48	L11	T	45	1990
S48	L11	T	45	1940
S48	L11	H	54	3910
S80	L42	H	57	3850
S80	L42	H	53	2740
S80	L42	T	43	1680
S80	L42	T	46	1930
S80	L42	H	52	2830
S5	L46	T	44	1860
S5	L46	T	43	1880
S5	L46	H	59	4080
S5	L46	T	46	1860
S73	L263	T	43	1850
S73	L263	T	47	1900
S73	L263	T	42	1670
S73	L263	H	56	3930
S73	L263	H	53	3660
S48	L310	H	51	2740
S48	L310	T	42	1570
S48	L310	T	44	1720
S48	L310	T	47	2130
S48	L310	H	53	4100
S48	L310	H	54	3500
S48	L310	T	46	2200
S36	L56	T	46	1990
S36	L56	T	45	2040
S36	L56	T	44	1810
S36	L56	T	44	1920
S36	L56	T	46	1810
S36	L56	T	43	1770
S46	L6	H	56	3820
S46	L6	T	45	1960
S46	L6	T	42	1580
S46	L6	T	46	1910
S40	L200	H	52	3550
S40	L200	T	45	1820
S40	L200	T	45	2260
S40	L200	H	53	3660
S40	L200	H	50	2830
S42	L327	T	42	1930
S42	L327	T	44	2100
S42	L327	T	45	1950
S42	L327	H	53	3860
S42	L327	T	44	1910
S42	L327	H	56	3460
S42	L327	H	55	3520
S48	L306	T	43	1740
S48	L306	H	54	3870
S48	L306	H	54	3650
S48	L306	T	47	2230
S9	L48	H	58	4320
S9	L48	T	46	2240
S9	L48	H	54	3540
S9	L48	H	58	4230
S9	L48	T	48	2060
S6	L355	H	56	3530
S6	L355	T	46	2010
S6	L355	T	47	2130
S6	L355	H	57.5	4510
S64	L334	T	45	2250
S64	L334	H	53	2900
S64	L334	T	44	2090
S64	L334	T	42	2050
S64	L334	T	45	2080
S24	L1	H	57	3300
S24	L1	H	52	3320
S24	L1	H	54	3300
S24	L1	T	47	1720
S24	L1	H	57	3570
S24	L1	T	43	1840
S24	L1	T	42	1640
S24	L1	H	56	3570
S88	L22	T	47	2060
S88	L22	T	44	1970
S88	L22	H	55	3880
S88	L22	T	43	1780
S88	L22	H	58	3678
S88	L22	T	46	2080
S88	L22	H	55	4250
S7	L146	T	46	1990
S7	L146	T	46	1790
S7	L146	H	57	3800
S7	L146	T	43	1730
S7	L146	T	48	2030
S75	L40	H	55	3850
S75	L40	H	57	4340
S75	L40	H	58	3980
S75	L40	H	54	3700
S75	L40	H	57	4150
S75	L40	T	47.5	2280
S93	L140	H	53	3900
S93	L140	H	53	4420
S93	L140	H	52	4040
S93	L140	T	43	2020
S93	L140	H	57	3870
S7	L75	T	45	1870
S7	L75	H	54	3740
S7	L75	T	43	1780
S7	L75	T	44	1800
S7	L75	H	58	4280
S7	L75	T	44	1840
S27	L79	H	52	3670
S27	L79	T	43	1560
S27	L79	T	45	1650
S27	L79	H	53	3480
S27	L79	H	51	3120
S27	L79	T	45	1950
S27	L79	T	42	1570
S27	L79	T	44	1790
S27	L79	T	47	2130
S7	L149	H	53	3070
S7	L149	T	45	1640
S7	L149	H	52	3610
S7	L149	T	44	1930
S7	L149	H	55	3250
S7	L149	H	52	3210
S75	L346	T	46	2020
S75	L346	T	47	1870
S75	L346	T	48	2370
S75	L346	H	60	4170
S75	L346	H	57	4300
S75	L346	T	46	1820
S75	L346	T	47	2100
S75	L346	T	47	2040
S24	L220	T	47	2150
S24	L220	H	55	3260
S24	L220	T	43	1580
S24	L220	H	54	3660
S24	L220	T	46	2100
S89	L144	T	45	2200
S89	L144	T	44	1870
S89	L144	T	44	2000
S89	L144	H	54	3780
S89	L144	H	56	3480
S89	L144	T	42	1400
S14	L160	H	55	3554
S14	L160	H	52	3750
S14	L160	H	53	3720
S14	L160	T	44	2020
S14	L160	T	43	2460
S62	L154	H	50	3380
S62	L154	H	51	3070
S62	L154	T	40	1610
S62	L154	H	53	3990
S62	L154	T	41	1760
S62	L154	T	42	1730
S65	L187	T	44	1850
S65	L187	T	48	1820
S65	L187	H	53	3530
S65	L187	T	45	1820
S65	L187	T	46.5	1960
S29	L191	T	40	1690
S29	L191	T	43	1860
S29	L191	H	52	3530
S29	L191	T	42	1450
S29	L191	H	50	3670
S29	L191	T	47	2260
S35	L289	T	45	1780
S35	L289	H	54	3510
S35	L289	T	45	2160
S35	L289	T	46	1930
S35	L289	T	46	1750
S35	L289	T	48	1870
S75	L70	T	42	1680
S75	L70	T	42	1910
S75	L70	T	47	1630
S75	L70	H	53	3510
S75	L70	T	45	2030
S75	L70	T	44	1770
S75	L70	H	56	3640
S75	L70	T	47	2010
S75	L118	H	57	3550
S75	L118	H	56	3930
S75	L118	H	49	3180
S75	L118	H	59	4000
S24	L262	H	54	3480
S24	L262	H	55	3940
S24	L262	T	45	1960
S24	L262	H	53	3420
S24	L262	T	45	2060
S29	L10	T	39	1890
S29	L10	T	46	2120
S29	L10	H	54	3480
S29	L10	T	46	2220
S87	L277	T	45	2590
S87	L277	T	44	2350
S87	L277	T	43	2160
S87	L277	H	56	3940
S87	L277	T	46	2260
S9	L117	H	53	3570
S9	L117	T	46	1900
S9	L117	H	54	3500
S9	L117	T	42	1940
S9	L117	H	50	2910
S9	L117	T	44	2090
S9	L117	H	54.5	3720
S61	L339	T	44	2310
S61	L339	H	55	3430
S61	L339	H	54	3660
S61	L339	T	45	2230
S61	L339	H	60	3980
S61	L339	T	44	2100
S61	L339	H	54	3960
S61	L339	T	44	2000
S61	L339	H	54	4370
S18	L61	T	49	1790
S18	L61	H	60	3910
S18	L61	T	46	2000
S18	L61	H	55	3900
S18	L61	H	49	3130
S18	L61	T	46	2010
S18	L61	T	45	1760
S18	L61	H	54	4250
S18	L61	H	56	3920
S20	L53	H	51	3630
S20	L53	T	45	1840
S20	L53	T	43	2050
S20	L53	H	57	3710
S20	L53	T	46	1920
S70	L205	T	47	2210
S70	L205	T	47	1980
S70	L205	T	47	2130
S70	L205	T	47	2020
S70	L205	H	59	4410
S29	L284	T	43	1470
S29	L284	T	41	1770
S29	L284	H	55	3480
S29	L284	H	51	3150
S17	L115	H	56	4480
S17	L115	T	46	2110
S17	L115	T	49	2450
S17	L115	T	47	2250
S7	L320	H	50	2930
S7	L320	T	44	1840
S7	L320	T	44	1740
S7	L320	T	42	1570
S7	L320	H	52	3810
S7	L320	T	45	1750
S7	L320	H	49	4000
S7	L320	T	45	1830
S27	L335	H	54	4080
S27	L335	H	55	3580
S27	L335	T	42	1730
S27	L335	T	46	2130
S75	L243	H	53	3850
S75	L243	T	49	2370
S75	L243	H	54	3430
S75	L243	H	50	3320
S75	L243	T	44	1970
S93	L229	H	53	3710
S93	L229	H	55	3680
S93	L229	H	54	4360
S93	L229	H	56	4080
S93	L229	H	58	4180
S93	L229	T	41	1830
S93	L204	T	46	2130
S93	L204	H	55	4000
S93	L204	T	48	2170
S93	L204	T	47	2150
S93	L204	T	46	2010
S75	L164	H	57	3770
S75	L164	T	45	2320
S75	L164	T	46	2180
S75	L164	T	49	2110
S75	L164	T	44	2040
S75	L164	T	48	2080
S75	L164	H	52	3590
S75	L164	T	47	1870
S75	L164	H	53	3330
S75	L164	T	41	1880
S43	L354	H	51	3580
S43	L354	H	52	3720
S43	L354	H	53	3800
S43	L354	T	38	1590
S43	L354	H	53	4180
S43	L354	T	46	2380
S43	L354	T	41	1770
S43	L354	T	42	1910
S24	L253	H	56	4040
S24	L253	H	54	3710
S24	L253	T	45	1700
S24	L253	H	57	3850
S24	L253	H	53	3340
S25	L325	H	54	4080
S25	L325	H	52	4410
S25	L325	H	57	3300
S25	L325	T	45	1880
S25	L325	T	46	2020
S25	L325	T	46	2270
S74	L30	T	47	2300
S74	L30	T	45	2210
S74	L30	T	45	1830
S74	L30	H	53	3280
S74	L30	H	55	4140
S78	L109	T	47	2030
S78	L109	T	47	2030
S78	L109	T	44	2380
S78	L109	T	43	1640
S86	L223	T	45	2110
S86	L223	T	45	1910
S86	L223	H	53	3550
S86	L223	H	55	3540
S86	L223	T	43	2080
S86	L223	T	43	1500
S86	L223	T	47	2130
S86	L223	T	45	1770
S86	L223	H	53	3540
S18	L16	H	55	3310
S18	L16	H	55	3970
S18	L16	H	57	4230
S18	L16	H	55	3940
S18	L89	T	45	1860
S18	L89	T	46	2600
S18	L89	T	47	2180
S18	L89	H	53	3400
S18	L89	H	56	4020
S18	L89	H	54	3860
S1	L29	T	44	1630
S1	L29	T	45	1890
S1	L29	T	45	1800
S1	L29	H	54	3620
S20	L36	T	43	1980
S20	L36	T	44	2100
S20	L36	H	55	3310
S20	L36	H	55	3860
S20	L36	H	55	3730
S20	L36	T	44	2150
S20	L36	T	44	1940
S50	L83	T	43	1840
S50	L83	H	57	3840
S50	L83	H	55	4000
S50	L83	T	41	1890
S50	L83	T	44	2100
S50	L83	H	56	4270
S74	L95	H	58	4360
S74	L95	T	47	1770
S74	L95	H	56	3890
S74	L95	H	54	3690
S15	L14	H	50	3440
S15	L14	H	54	3330
S15	L14	H	55	4180
S15	L14	T	44	1750
S15	L14	H	56	3570
S15	L14	H	53	3810
S93	L93	H	55	3640
S93	L93	T	44	2220
S93	L93	T	44	1950
S93	L93	H	53	4320
S93	L93	H	56	4830
S88	L321	H	55	4500
S88	L321	T	44	2080
S88	L321	T	45	1990
S88	L321	H	54	4360
S40	L200	T	42	1710
S40	L200	T	46	2060
S75	L40	H	57	4070
S75	L40	H	50	3030
S91	L298	H	54	3100
S91	L298	T	45	1740
S91	L298	T	44	1930
S91	L298	T	40	1620
S29	L319	H	54	3560
S29	L319	T	44	1960
S29	L319	T	44	2100
S29	L319	T	42	1600
S29	L319	T	45	1950
S90	L333	T	44	1680
S90	L333	T	44	1610
S90	L333	T	48	2010
S90	L333	T	44	1860
S16	L340	T	47	1880
S16	L340	H	54	3660
S16	L340	T	46	2030
S16	L340	H	56	3870
S16	L340	H	53	3560
S46	L18	T	42	1720
S46	L18	H	51	2540
S46	L18	H	51	2760
S46	L18	T	42	1580
S46	L18	H	57	4020
S61	L41	H	55	3400
S61	L41	T	43	1710
S61	L41	T	43	1760
S61	L41	H	55	3290
S36	L135	H	54	3530
S36	L135	H	55	3460
S36	L135	T	44	1820
S36	L135	H	55	3600
S42	L228	H	57	3780
S42	L228	H	58	4555
S42	L228	H	56	3990
S42	L228	T	46	2160
S42	L228	H	57	4290
S42	L228	T	44	1960
S13	L218	H	54	2860
S13	L218	H	53	3670
S13	L218	T	45	2070
S13	L218	H	56	4400
S13	L218	T	45	1670
S48	L303	T	45	1940
S48	L303	H	53	3780
S48	L303	T	44	1550
S48	L303	H	54	3230
S48	L303	T	47	1610
S55	L120	H	56	3600
S55	L120	H	55	3900
S55	L120	T	44	1770
S55	L120	T	44	1660
S55	L120	H	55	3530
S55	L120	T	45	1510
S45	L317	T	42	1490
S45	L317	T	44	1790
S45	L317	T	42	1620
S45	L317	H	52	2920
S45	L317	T	43	1520
S48	L94	H	53	2910
S48	L94	H	57	3610
S48	L94	H	53	3330
S48	L94	H	54	3340
S48	L94	H	53	3170
S48	L94	H	54	3410
S48	L94	H	55	3730
S16	L43	T	46	2180
S16	L43	H	58	3740
S16	L43	T	45	2000
S16	L43	T	46	2120
S16	L43	T	45	1740
S16	L43	H	55	3720
S16	L43	T	45	1880
S32	L174	H	58	3770
S32	L174	H	54	3420
S32	L174	T	46	2020
S32	L174	T	48	2290
S32	L174	H	55	3100
S87	L299	T	44	1830
S87	L299	T	45	2050
S87	L299	H	57	3990
S87	L299	H	54	3910
S87	L299	T	44	1730
S87	L299	H	55	3980
S87	L299	H	53	3740
S87	L299	T	46	2220
S87	L299	H	51	3330
S48	L72	H	55	3650
S48	L72	T	45	2060
S48	L72	T	43	1820
S48	L72	H	57	3850
S48	L72	H	54	3100
S48	L72	H	56	4410
S48	L72	H	53	3300
S36	L63	T	46	1890
S36	L63	T	45	2130
S36	L63	T	46	1920
S36	L63	H	55	3310
S36	L63	T	45	1950
S48	L17	T	47	2040
S48	L17	H	54	3260
S48	L17	H	52	3170
S48	L17	T	43	1690
S48	L17	H	51	2710
S48	L17	T	48	1980
S48	L17	T	43	1780
S48	L17	T	44	1810
S61	L102	T	45	1760
S61	L102	H	57	3070
S61	L102	T	43	1660
S61	L102	T	45	1750
S29	L167	T	46	2020
S29	L167	H	50	3690
S29	L167	T	43	1870
S29	L167	H	53	3730
S29	L167	H	53	3200
S41	L290	H	50	2910
S41	L290	H	49	2920
S41	L290	T	45	1670
S41	L290	H	52	3750
S41	L290	T	41	1550
S41	L290	T	45	1690
S41	L290	T	44	1860
S41	L290	H	53	3600
S69	L214	H	53	4340
S69	L214	H	54	3680
S69	L214	H	55	3550
S69	L214	H	54	3790
S69	L214	H	57	4520
S44	L171	H	52	3750
S44	L171	H	54	3410
S44	L171	T	43	1710
S44	L171	T	44	1930
S44	L171	T	43	1840
S8	L104	T	47	1920
S8	L104	T	43	1670
S8	L104	T	43	1830
S8	L104	T	47	1740
S8	L104	H	48	3350
S8	L104	H	53	3290
S8	L104	T	51	2780
S8	L104	T	43	1660
S5	L288	H	55	3530
S5	L288	T	44	1990
S5	L288	H	54	3570
S5	L288	H	52	3890
S5	L288	H	52	3390
S5	L288	H	54	3770
S5	L288	H	51	3150
S5	L288	H	55	3920
S5	L288	H	55	3580
S52	L151	T	46	2240
S52	L151	T	45	2130
S52	L151	H	55	4210
S52	L151	T	45	1780
S52	L151	T	44	1950
S52	L151	T	48	2250
S52	L151	H	56	3740
S52	L151	H	57	4110
S5	L39	T	45	2110
S5	L39	T	43	1930
S5	L39	H	54	4570
S5	L39	H	56	3900
S79	L74	H	55	3720
S79	L74	H	53	3640
S79	L74	H	52	3450
S79	L74	H	57	4100
S79	L74	T	46	1880
S29	L206	T	42	1600
S29	L206	T	43	1750
S29	L206	H	51	3630
S29	L206	T	44	1930
S29	L206	H	52	3140
S29	L206	T	43	1690
S29	L206	H	51	3240
S31	L323	T	45	1980
S31	L323	T	44	1810
S31	L323	T	44	1830
S31	L323	H	50	2620
S31	L323	H	50.5	3270
S31	L323	T	42	1630
S31	L323	H	50	3350
S31	L323	H	51	3490
S19	L143	H	55	4020
S19	L143	T	46	2080
S19	L143	H	48	3130
S19	L143	T	46	2170
S19	L143	T	44	2320
S8	L272	T	47	2060
S8	L272	H	54	3830
S8	L272	T	44	1870
S8	L272	H	53	3230
S8	L272	H	52	3230
S31	L173	H	51	3240
S31	L173	T	47	1880
S31	L173	H	50	3210
S31	L173	T	45	1830
S31	L173	H	53	3700
S31	L173	H	52	3110
S31	L173	T	42	1570
S69	L131	H	52	3640
S69	L131	T	45	1990
S69	L131	H	51	3500
S69	L131	T	42	1870
S69	L131	H	53	3660
S69	L131	T	47	1980
S44	L287	H	50	3460
S44	L287	T	44	2010
S44	L287	T	45	1840
S44	L287	T	45	1720
S44	L287	H	51	3100
S44	L287	H	50	3050
S44	L287	T	45	1870
S44	L287	T	43	1590
S2	L270	T	46	1930
S2	L270	H	53	4210
S2	L270	T	47	2300
S2	L270	T	45	2020
S31	L274	T	43	1590
S31	L274	T	45	2290
S31	L274	T	47	2060
S31	L274	T	43	1660
S31	L274	H	48	2800
S31	L274	T	43	1750
S31	L235	T	44	1810
S31	L235	H	52	3370
S31	L235	H	50	3820
S31	L235	H	53	3330
S31	L235	H	52	3000
S31	L235	T	45	2060
S24	L23	T	47	2420
S24	L23	T	49	1910
S24	L23	T	47	2630
S24	L23	T	48	1980
S62	L227	T	46	1860
S62	L227	T	44	1730
S62	L227	T	42	1680
S62	L227	H	53	3210
S62	L227	T	46	1710
S24	L159	T	46	1750
S24	L159	T	47	2080
S24	L159	T	49	2110
S24	L159	T	48	2090
S57	L78	H	54	3730
S57	L78	H	51	3020
S57	L78	H	48	3180
S57	L78	H	53	3630
S57	L78	T	44	1980
S57	L78	T	43	1770
S57	L78	T	42	1910
S57	L236	H	51	3920
S57	L236	H	55	4560
S57	L236	H	52	3990
S57	L236	T	48	2490
S57	L236	T	46	2060
S57	L236	T	44	1720
S57	L236	T	44	2160
S57	L236	T	44	1350
S57	L236	H	56	3350
S77	L196	T	45	1940
S77	L196	T	45	2000
S77	L196	T	45	1950
S77	L196	T	43	2100
S77	L196	H	53	3840
S77	L196	H	50	3460
S2	L261	H	51	4100
S2	L261	T	43	1820
S2	L261	T	45	2210
S2	L261	H	50	3760
S2	L261	T	43	2010
S2	L261	H	56	4710
S2	L261	H	54	3680
S68	L81	T	46	1860
S68	L81	H	56	4200
S68	L81	H	52	4030
S68	L81	T	44	1660
S68	L81	H	51	3880
S85	L331	H	54	3340
S85	L331	H	50	3110
S85	L331	T	44	1710
S85	L331	T	45	1750
S85	L331	T	43	1600
S85	L331	T	46	1890
S85	L331	H	50	3060
S8	L169	H	54	3310
S8	L169	H	54	3230
S8	L169	T	46	1970
S8	L169	H	55	3590
S8	L169	H	55	3940
S8	L169	H	53	3500
S8	L169	H	57	3100
S8	L169	T	45	1790
S19	L38	H	54	3280
S19	L38	T	43	2090
S19	L38	H	53	3530
S19	L38	T	45	2030
S19	L38	T	48	2030
S41	L73	H	52	2980
S41	L73	H	51	3550
S41	L73	H	53	3570
S41	L73	H	52	4620
S41	L73	T	44	1820
S41	L73	T	45	2010
S41	L73	T	43	1820
S41	L73	T	41	1690
S5	L246	T	45	2380
S5	L246	T	46	2450
S5	L246	H	53	4340
S5	L246	H	51	3760
S5	L246	H	52	3470
S5	L246	H	51	3900
S79	L184	T	44	1710
S79	L184	T	45	1850
S79	L184	H	52	3150
S79	L184	T	41	1560
S69	L283	T	46	2020
S69	L283	H	52	3670
S69	L283	H	55	3640
S69	L283	H	50	3650
S69	L283	H	56	3880
S69	L283	H	53	3270
S69	L283	H	49	3320
S68	L107	T	42	1700
S68	L107	T	42	1910
S68	L107	H	50	2750
S68	L107	T	44	1740
S68	L107	H	54	3050
S68	L107	H	49	2580
S68	L107	T	44	1610
